year,month,prcp_mm,tave_degC
1912,8,41.4,19.18
1912,9,180.75,18.01
1912,10,41.6,11.76
1912,11,83.18,4.72
1912,12,85,0.46
1913,1,81.46,2.82
1913,2,41.65,-0.15
1913,3,150.96,5.82
1913,4,141.38,9.33
1913,5,136.45,14.76
1913,6,116.39,18.33
1913,7,132.74,20.48
1913,8,125.55,19.05
1913,9,72.23,15.45
1913,10,157.48,10.85
1913,11,121.14,5.56
1913,12,68.37,1.59
1914,1,130.81,0.24
1914,2,77.69,-3.66
1914,3,85.82,1.07
1914,4,90.06,9.27
1914,5,31.3,15.89
1914,6,57.95,20.18
1914,7,100.97,20.54
1914,8,76.75,20.31
1914,9,40.07,14.96
1914,10,115.76,12.33
1914,11,76.49,4.54
1914,12,159.7,-2.52
1915,1,155.47,-1.51
1915,2,109.61,1
1915,3,35.32,0.04
1915,4,42.81,10.76
1915,5,94.34,14.67
1915,6,111.85,17.31
1915,7,117.7,20.09
1915,8,163.97,18.71
1915,9,90.9,17.04
1915,10,153.33,11.92
1915,11,49.42,4.89
1915,12,91.66,-1.56
1916,1,45.56,1.53
1916,2,88.41,-0.61
1916,3,76.82,2.42
1916,4,70.48,8.3
1916,5,71.88,16.4
1916,6,188.75,16.9
1916,7,131.5,20.56
1916,8,88.75,19.74
1916,9,89.27,15.02
1916,10,69.71,10.57
1916,11,56.56,4.8
1916,12,78.95,-1.14
1917,1,69.2,-0.21
1917,2,52.07,-1.35
1917,3,184.59,3.86
1917,4,123.96,9.38
1917,5,73.79,11.73
1917,6,92.1,18.29
1917,7,112.85,20.61
1917,8,108.33,19.63
1917,9,66.01,14.23
1917,10,111.12,8.1
1917,11,8.64,3.01
1917,12,41.75,-6.48
1918,1,169.34,-7.55
1918,2,27.03,0.18
1918,3,109.92,6.32
1918,4,175.57,7.85
1918,5,67.91,17.18
1918,6,123.49,17.48
1918,7,74.34,18.76
1918,8,133.19,20.97
1918,9,112.08,13.51
1918,10,69.56,12.74
1918,11,59.95,4.12
1918,12,125.25,1.99
1919,1,115.66,0.05
1919,2,55.19,-0.44
1919,3,98.62,4.94
1919,4,86.22,8.86
1919,5,143.4,14.25
1919,6,152.84,18.75
1919,7,180.89,20.75
1919,8,71.51,18.63
1919,9,25.3,16.81
1919,10,104.04,15.12
1919,11,88.04,4.9
1919,12,75.84,-2.3
1920,1,76.47,-3.19
1920,2,111.06,-2.5
1920,3,105.08,3.93
1920,4,112.44,8.07
1920,5,49.95,12.61
1920,6,141.93,17.6
1920,7,151.51,19.08
1920,8,183.55,18.75
1920,9,92.15,16.52
1920,10,6.79,12.45
1920,11,179.66,3.74
1920,12,91.5,0.4
1921,1,92,-0.57
1921,2,63.08,1.03
1921,3,50.99,9.34
1921,4,61.65,11.49
1921,5,93.13,13.51
1921,6,103.46,19.5
1921,7,87.13,21.52
1921,8,56.58,18.91
1921,9,102.9,19.77
1921,10,64.41,10.89
1921,11,93.54,6.26
1921,12,69.31,1.05
1922,1,96.29,-3
1922,2,112.8,1.36
1922,3,161.6,5.09
1922,4,52.43,10.28
1922,5,109.27,15.51
1922,6,99.27,19.36
1922,7,134.31,20.61
1922,8,109.84,18.2
1922,9,22.31,17.18
1922,10,101.59,12.08
1922,11,9.46,5.35
1922,12,108.23,1.69
1923,1,102.2,-0.09
1923,2,48.68,-1.68
1923,3,119.35,4.59
1923,4,112.55,8.77
1923,5,40.18,13.8
1923,6,59.05,19.77
1923,7,107.47,20.16
1923,8,123.05,19.41
1923,9,99.46,16.87
1923,10,40.31,10.06
1923,11,85.52,3.68
1923,12,56.49,4.41
1924,1,138.36,-2.03
1924,2,66.24,-1.76
1924,3,107.61,2.59
1924,4,95.48,7.78
1924,5,220.97,12.29
1924,6,138.36,18.15
1924,7,83.13,19.29
1924,8,171.98,19.88
1924,9,200.37,14.19
1924,10,44.44,11.06
1924,11,74,4.9
1924,12,71.32,-0.21
